Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Bola16	Bola17	Bola18	Bola19	Bola20
J1936	10	15	18	20	25	28	29	44	48	52	55	57	63	64	70	77	88	89	91	97
J1937	2	9	11	16	17	25	27	31	46	47	50	56	65	68	72	75	76	80	87	97
J1938	0	5	13	17	27	32	33	34	35	38	45	47	51	58	63	71	83	88	89	91
J1939	2	3	7	10	11	16	18	23	24	25	27	29	30	34	41	46	55	60	81	83
J1940	0	14	19	22	30	31	32	35	43	47	48	62	70	74	76	83	84	87	96	99
J1941	10	11	14	21	29	34	41	46	48	58	61	68	69	70	72	81	91	94	96	97
J1942	2	3	6	9	10	15	19	23	24	40	49	51	56	61	80	88	91	93	94	96
J1943	0	10	19	24	31	35	38	41	42	46	47	49	55	64	65	76	84	85	86	92
J1944	5	8	9	11	12	17	26	30	37	38	43	57	63	64	72	74	84	85	87	94
J1945	1	2	6	10	12	13	24	29	36	39	44	45	47	48	52	55	58	64	75	84
J1946	8	13	14	15	17	27	35	46	50	51	52	65	70	76	80	86	93	97	98	99
J1947	0	11	13	21	29	30	33	35	50	51	60	63	70	73	77	87	90	91	96	99
J1948	3	6	7	13	20	21	22	29	35	50	52	53	65	73	82	83	86	87	91	95
J1949	0	1	4	5	8	10	16	38	47	48	51	64	67	75	76	77	78	83	85	97
J1950	3	9	12	13	15	20	26	28	33	37	44	46	60	61	62	68	85	88	90	98
J1951	6	11	12	13	19	23	26	37	42	47	52	53	64	68	70	71	72	77	86	96
J1952	8	9	18	21	27	31	33	34	42	43	45	59	66	70	72	75	80	84	90	94
J1953	0	7	20	23	31	34	35	36	53	54	58	59	65	71	83	87	94	95	98	99
J1954	0	1	2	11	21	25	31	38	44	55	59	64	67	68	70	74	78	79	89	90
J1955	5	16	18	19	21	23	27	34	35	36	38	39	40	45	46	49	57	71	91	96
J1956	3	14	18	37	38	42	44	52	61	62	69	73	74	78	88	90	92	93	94	99
J1957	8	11	12	19	33	35	38	45	46	53	57	59	61	64	82	83	89	92	93	94
J1958	2	4	6	10	11	15	22	28	34	36	38	46	48	53	61	63	77	80	87	99
J1959	2	6	16	17	20	29	30	33	37	44	45	52	60	63	70	74	75	81	92	99
J1960	6	10	11	12	26	30	31	38	43	45	54	67	69	77	79	82	84	91	92	99
J1961	8	9	11	12	13	17	26	33	37	41	51	58	63	65	68	77	80	86	89	90
J1962	0	1	7	13	21	24	25	32	34	36	37	50	54	60	61	73	80	92	93	98
J1963	8	9	19	30	36	40	42	53	54	55	59	62	63	66	71	74	87	88	97	99
J1964	8	9	17	22	24	34	35	43	49	52	56	57	58	67	75	81	83	91	93	96
