Jogo	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15
J2504	3	5	7	8	12	13	14	15	16	17	20	21	22	23	24
J2505	1	2	3	4	6	8	9	10	17	18	19	21	23	24	25
J2506	3	4	5	8	9	10	11	14	15	16	18	19	20	22	25
J2507	3	4	5	7	8	9	10	11	13	14	15	16	19	20	25
J2508	1	2	5	6	7	10	11	12	14	15	17	18	19	20	21
J2509	2	3	4	5	9	10	11	12	13	14	19	21	22	23	25
J2510	1	2	5	7	11	13	14	16	17	19	20	22	23	24	25
J2511	1	3	4	5	6	8	9	11	15	16	18	21	23	24	25
J2512	1	2	3	7	9	10	12	14	15	16	18	19	20	21	23
J2513	2	3	4	6	7	9	11	12	16	17	19	20	21	23	24
J2514	2	3	5	6	7	8	9	12	14	15	16	18	19	21	24
J2515	4	5	7	8	9	11	12	14	15	16	19	21	22	24	25
J2516	1	2	3	5	7	8	10	11	14	15	16	17	21	22	24
J2517	1	2	3	5	6	9	10	12	14	15	16	20	21	23	24
J2518	1	2	4	5	6	8	11	13	14	15	20	22	23	24	25
J2519	2	3	4	5	8	10	11	12	13	14	18	19	22	24	25
J2520	1	2	4	5	6	7	8	10	14	15	16	18	23	24	25
J2521	2	3	4	6	7	8	13	14	16	17	18	21	22	24	25
J2522	1	2	3	5	9	10	12	13	15	16	18	19	21	22	25
J2523	1	4	5	6	7	10	11	12	14	15	17	18	20	23	24
J2524	1	2	3	5	6	7	12	14	15	16	19	20	23	24	25
J2525	4	6	10	11	12	13	16	17	18	19	20	21	23	24	25
J2526	1	2	6	8	11	12	13	14	16	17	19	20	22	23	24
J2527	1	2	5	6	9	11	12	13	14	17	18	19	20	21	23
J2528	2	3	5	7	8	9	10	11	12	13	15	20	22	23	24
J2529	3	5	6	8	9	11	12	13	14	16	18	21	22	24	25
J2530	1	2	4	6	7	8	9	11	13	15	21	22	23	24	25
J2531	1	2	3	4	5	7	8	11	12	16	17	18	20	21	25
J2532	1	2	3	4	6	9	10	12	13	14	16	17	18	22	25
J2533	4	7	8	10	11	12	15	16	17	18	19	22	23	24	25
J2534	7	8	10	11	12	14	15	16	17	18	20	21	22	23	25
J2535	5	6	7	8	11	12	13	14	15	16	18	20	22	24	25
J2536	1	2	4	6	9	12	13	15	16	17	18	19	21	23	25
J2537	2	4	5	6	7	9	10	12	14	16	18	19	22	23	24
J2538	1	2	4	5	6	8	9	13	14	16	17	21	22	24	25
J2539	1	3	4	5	6	9	10	13	16	17	18	20	23	24	25
J2540	1	3	5	6	7	8	11	12	14	18	20	21	22	23	24
J2541	2	4	7	8	11	12	13	14	16	17	18	19	20	22	25
J2542	3	5	8	10	12	13	15	16	18	19	20	21	22	24	25
J2543	3	5	6	7	8	9	11	12	14	17	18	19	20	24	25
J2544	3	5	6	7	8	10	11	12	13	15	18	20	21	23	24
J2545	1	2	3	5	7	9	10	13	14	15	16	19	20	21	24
J2546	2	4	5	7	8	9	10	11	14	17	20	21	22	24	25
J2547	1	2	5	9	10	12	15	16	18	19	21	22	23	24	25
J2548	1	2	3	4	5	8	9	11	13	15	16	18	19	23	25
J2549	1	2	4	5	6	7	9	11	16	17	19	21	22	24	25
J2550	1	2	6	7	9	10	12	13	17	18	20	21	23	24	25
J2551	1	2	6	9	10	11	12	14	15	16	18	20	21	22	25
J2552	1	3	4	5	9	10	12	13	14	15	17	18	21	24	25
J2553	1	2	4	5	7	8	9	11	13	14	17	18	19	21	25
J2554	2	3	4	8	10	11	13	15	16	17	18	19	20	22	24
J2555	2	3	4	6	7	8	11	12	16	17	18	21	22	23	25
J2556	1	2	5	10	11	12	15	17	18	20	21	22	23	24	25
J2557	2	3	4	5	6	7	8	9	10	11	12	17	18	21	22
J2558	3	4	5	6	10	12	14	15	16	17	20	21	22	24	25
J2559	1	3	5	7	8	9	10	12	13	14	16	17	19	21	25
J2560	1	2	4	5	6	8	9	11	14	16	18	20	23	24	25
J2561	1	2	3	5	6	7	12	13	15	16	17	18	20	21	23
J2562	2	3	6	7	9	10	11	14	16	17	20	21	22	24	25
J2563	3	4	6	8	9	12	15	17	18	19	21	22	23	24	25
J2564	2	4	6	7	8	11	15	16	17	18	21	22	23	24	25
J2565	1	2	5	7	9	10	11	12	14	15	16	18	20	22	25
J2566	1	2	10	11	12	13	14	15	16	18	19	20	21	23	24
J2567	1	2	3	4	5	7	11	12	13	14	15	19	20	21	24
J2568	1	2	4	6	8	9	11	12	14	15	17	20	21	22	24
J2569	3	5	12	13	14	15	16	17	18	19	20	21	22	23	25
J2570	1	3	4	5	6	7	9	10	11	13	16	18	20	23	25
