Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Bola16;Bola17;Bola18;Bola19;Bola20;Rateio 20 acertos;Rateio 19 acertos;Rateio 18 acertos;Rateio 17 acertos;Rateio 16 acertos;Rateio 15 acertos;Rateio Nenhum Número
95;10/03/2001;1;16;20;23;27;41;44;48;53;55;57;69;72;79;84;85;86;87;91;94;R$0,00;R$40.075,11;R$2.046,39;R$119,16;R$19,02;-;R$336.084,43
96;14/03/2001;3;6;9;15;18;19;22;24;32;42;51;62;64;65;70;73;75;86;94;95;R$0,00;R$18.602,57;R$1.501,55;R$89,27;R$14,03;-;R$0,00
97;17/03/2001;1;5;8;16;31;34;38;39;43;44;45;49;50;51;55;57;63;85;92;97;R$2.433.108,89;R$24.533,17;R$1.341,66;R$68,46;R$13,89;-;R$0,00
98;21/03/2001;2;18;26;27;38;39;45;46;51;55;63;64;68;70;72;73;76;84;89;96;R$0,00;R$36.036,67;R$2.234,83;R$112,63;R$18,87;-;R$0,00
99;24/03/2001;2;4;6;10;16;26;28;32;34;38;39;42;53;62;69;82;89;90;92;97;R$0,00;R$16.898,59;R$1.285,76;R$82,06;R$14,02;-;R$805.748,30
100;28/03/2001;2;6;7;11;12;21;27;28;38;48;51;56;58;60;66;67;77;90;91;95;R$0,00;R$45.842,69;R$1.944,84;R$139,48;R$21,04;-;R$0,00
101;31/03/2001;1;2;3;5;12;16;19;20;27;30;33;39;49;51;59;68;74;80;82;83;R$0,00;R$30.367,60;R$1.709,43;R$109,34;R$16,73;-;R$0,00
102;04/04/2001;4;9;11;13;21;24;35;47;48;57;62;64;70;72;76;85;89;91;94;95;R$1.506.273,98;R$27.317,58;R$1.829,30;R$101,91;R$17,30;-;R$311.727,96
103;07/04/2001;5;24;25;26;29;30;32;35;45;58;61;72;77;85;86;91;92;95;97;99;R$693.115,45;R$92.415,40;R$2.333,72;R$135,00;R$20,09;-;R$0,00
104;11/04/2001;7;10;17;20;23;31;33;35;37;41;44;49;50;53;64;65;68;70;71;85;R$0,00;R$10.605,75;R$826,42;R$62,31;R$10,63;-;R$390.124,72
105;14/04/2001;0;1;2;3;4;9;10;15;23;25;28;34;41;48;54;72;76;86;87;93;R$0,00;R$18.301,15;R$1.759,73;R$93,69;R$15,39;-;R$0,00
106;18/04/2001;1;9;10;12;15;20;21;25;29;40;55;68;72;75;77;78;82;87;88;97;R$0,00;R$22.069,80;R$1.489,95;R$93,07;R$15,43;-;R$359.569,94
